estimator_id,source_profile,scalar_degree,packing_degree,policy,modulus_profile,d,rank,coeff_linf_bound,max_width,scalar_n,search_cap,hit_cap,profile,target_bits,max_adps16_quantum_rop_log2,next_adps16_quantum_rop_log2,max_beta,max_zeta,next_beta,next_zeta,cutoff_kind
akita-infinity-width-v4,phi243-fixed-w47-delta16,162,4,Quantum128BitADPS16,q128,648,1,24641160,518564323,648,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi729-fixed-w25-delta32,486,1,Quantum128BitADPS16,q128,486,1,858993459000,3,486,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,98.315000000000,484,,371,0,Exact
akita-infinity-width-v4,phi729-fixed-w25-delta32,486,1,Quantum128BitADPS16,q128,486,2,858993459000,110411,972,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi729-fixed-w25-delta32,486,1,Quantum128BitADPS16,q128,486,3,858993459000,1526290668749,1458,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi729-fixed-w25-delta32,486,2,Quantum128BitADPS16,q128,972,1,858993459000,55205,972,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta32,162,1,Quantum128BitADPS16,q128,162,1,1580547964560,3,162,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,10.865000000000,484,,41,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta32,162,1,Quantum128BitADPS16,q128,162,2,1580547964560,6,324,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,81.620000000000,484,,308,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta32,162,1,Quantum128BitADPS16,q128,162,3,1580547964560,10,486,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,113.950000000000,484,,430,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta32,162,2,Quantum128BitADPS16,q128,324,1,1580547964560,3,324,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,49.025000000000,484,,185,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta32,162,2,Quantum128BitADPS16,q128,324,2,1580547964560,8,648,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,108.915000000000,484,,411,0,Exact
