policy,modulus_profile,d,rank,coeff_linf_bound,max_width,scalar_n,search_cap,hit_cap,profile,target_bits,max_adps16_quantum_rop_log2,next_adps16_quantum_rop_log2,max_beta,max_zeta,next_beta,next_zeta,cutoff_kind
Quantum128BitADPS16,q31,64,4,3,2344813,256,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,5,3,21650822,320,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,6,3,158483136,384,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,7,3,976516488,448,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,8,3,5260505416,512,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,9,3,25422730708,576,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,10,3,112275777003,640,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,11,3,459409099192,704,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,12,3,1760200206219,768,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,13,3,6368015365438,832,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,14,3,6400000000000,896,6400000000000,true,local-minimum+proven-pruned-certification,128.0,142.040000000000,,536,0,,,AtLeast
Quantum128BitADPS16,q31,64,15,3,6400000000000,960,6400000000000,true,local-minimum+proven-pruned-certification,128.0,156.350000000000,,590,0,,,AtLeast
Quantum128BitADPS16,q31,64,16,3,6400000000000,1024,6400000000000,true,local-minimum+proven-pruned-certification,128.0,170.660000000000,,644,0,,,AtLeast
Quantum128BitADPS16,q31,64,17,3,6400000000000,1088,6400000000000,true,local-minimum+proven-pruned-certification,128.0,185.500000000000,,700,0,,,AtLeast
Quantum128BitADPS16,q31,64,18,3,6400000000000,1152,6400000000000,true,local-minimum+proven-pruned-certification,128.0,200.340000000000,,756,0,,,AtLeast
Quantum128BitADPS16,q31,64,19,3,6400000000000,1216,6400000000000,true,local-minimum+proven-pruned-certification,128.0,215.445000000000,,813,0,,,AtLeast
Quantum128BitADPS16,q31,64,20,3,6400000000000,1280,6400000000000,true,local-minimum+proven-pruned-certification,128.0,230.550000000000,,870,0,,,AtLeast
Quantum128BitADPS16,q31,128,1,3,3980,128,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,128,2,3,1172406,256,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,128,3,3,79241568,384,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,128,4,3,2630252708,512,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,128,5,3,56137888501,640,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,128,6,3,880100103109,768,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,128,7,3,6400000000000,896,6400000000000,true,local-minimum+proven-pruned-certification,128.0,134.090000000000,,506,0,,,AtLeast
Quantum128BitADPS16,q31,128,8,3,6400000000000,1024,6400000000000,true,local-minimum+proven-pruned-certification,128.0,161.120000000000,,608,0,,,AtLeast
Quantum128BitADPS16,q31,128,9,3,6400000000000,1152,6400000000000,true,local-minimum+proven-pruned-certification,128.0,189.210000000000,,714,0,,,AtLeast
Quantum128BitADPS16,q31,128,10,3,6400000000000,1280,6400000000000,true,local-minimum+proven-pruned-certification,128.0,218.095000000000,,823,0,,,AtLeast
Quantum128BitADPS16,q31,128,11,3,6400000000000,1408,6400000000000,true,local-minimum+proven-pruned-certification,128.0,247.510000000000,,934,0,,,AtLeast
Quantum128BitADPS16,q31,128,12,3,6400000000000,1536,6400000000000,true,local-minimum+proven-pruned-certification,128.0,277.720000000000,,1048,0,,,AtLeast
Quantum128BitADPS16,q31,128,13,3,6400000000000,1664,6400000000000,true,local-minimum+proven-pruned-certification,128.0,308.195000000000,,1163,0,,,AtLeast
Quantum128BitADPS16,q31,128,14,3,6400000000000,1792,6400000000000,true,local-minimum+proven-pruned-certification,128.0,339.465000000000,,1281,0,,,AtLeast
Quantum128BitADPS16,q31,128,15,3,6400000000000,1920,6400000000000,true,local-minimum+proven-pruned-certification,128.0,371.000000000000,,1400,0,,,AtLeast
Quantum128BitADPS16,q31,128,16,3,6400000000000,2048,6400000000000,true,local-minimum+proven-pruned-certification,128.0,403.065000000000,,1521,0,,,AtLeast
Quantum128BitADPS16,q31,128,17,3,6400000000000,2176,6400000000000,true,local-minimum+proven-pruned-certification,128.0,435.395000000000,,1643,0,,,AtLeast
Quantum128BitADPS16,q31,128,18,3,6400000000000,2304,6400000000000,true,local-minimum+proven-pruned-certification,128.0,468.255000000000,,1767,0,,,AtLeast
Quantum128BitADPS16,q31,128,19,3,6400000000000,2432,6400000000000,true,local-minimum+proven-pruned-certification,128.0,501.380000000000,,1892,0,,,AtLeast
Quantum128BitADPS16,q31,128,20,3,6400000000000,2560,6400000000000,true,local-minimum+proven-pruned-certification,128.0,534.770000000000,,2018,0,,,AtLeast
Quantum128BitADPS16,q31,256,1,3,586203,256,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,256,2,3,1315126354,512,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,256,3,3,440050051554,768,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,256,4,3,6400000000000,1024,6400000000000,true,local-minimum+proven-pruned-certification,128.0,152.375000000000,,575,0,,,AtLeast
Quantum128BitADPS16,q31,256,5,3,6400000000000,1280,6400000000000,true,local-minimum+proven-pruned-certification,128.0,206.435000000000,,779,0,,,AtLeast
Quantum128BitADPS16,q31,256,6,3,6400000000000,1536,6400000000000,true,local-minimum+proven-pruned-certification,128.0,263.145000000000,,993,0,,,AtLeast
Quantum128BitADPS16,q31,256,7,3,6400000000000,1792,6400000000000,true,local-minimum+proven-pruned-certification,128.0,321.710000000000,,1214,0,,,AtLeast
Quantum128BitADPS16,q31,256,8,3,6400000000000,2048,6400000000000,true,local-minimum+proven-pruned-certification,128.0,382.395000000000,,1443,0,,,AtLeast
Quantum128BitADPS16,q31,256,9,3,6400000000000,2304,6400000000000,true,local-minimum+proven-pruned-certification,128.0,444.405000000000,,1677,0,,,AtLeast
Quantum128BitADPS16,q31,256,10,3,6400000000000,2560,6400000000000,true,local-minimum+proven-pruned-certification,128.0,508.005000000000,,1917,0,,,AtLeast
Quantum128BitADPS16,q31,256,11,3,6400000000000,2816,6400000000000,true,local-minimum+proven-pruned-certification,128.0,572.665000000000,,2161,0,,,AtLeast
