log2_arg,log2_erf
-11.25,-11.0757481458095566909815303437528768987002140352349858423669
-11.125,-10.9507481611492198860123475541823450799240651541665983448253
-11.0,-10.8257481793912563294399618549154526443534209208607325624165
-10.875,-10.7007482010848156199010954174212730678220206467506339600237
-10.75,-10.5757482268829503381540492959785000699228617714373195993014
-10.625,-10.4507482575622752184953536920425251071652574176278828248063
-10.5,-10.3257482940463459702836375342747053593807341032786636033960
-10.375,-10.2007483374334615317653107162943264074575554005995121240044
-10.25,-10.0757483890297266981374401325458748133322255094554930351343
-10.125,-9.95074845038837041993904801639502351321130911416650820946040
-10.0,-9.82574852335650338324837347690925933859508429176269308773569
-9.875,-9.70074861013072242845024687724678622494103987105760297302142
-9.75,-9.57574871332323568066091068283827635381671225970606198016811
-9.625,-9.45074883604049896874267634506890794606759149604924189083517
-9.5,-9.32574898197673073429665287506897592189997282332837122402347
-9.375,-9.20074915552512051366173028883603324637268119853146866104570
-9.25,-9.07574936191007869596082448822861666847289565036702718342887
-9.125,-8.95074960734450865005898361907454067343280640681054629823391
-9.0,-8.82574989921683553694259516728143077898039763249304491265158
-8.875,-8.70075024631342185157585221866168105340433927990114838779598
-8.75,-8.57575065908306492778228059370788671784514916403052537259471
-8.625,-8.45075114995153834788053602012968355531734880949492661420661
-8.5,-8.32575173369564554502524171423071276718171591349644708061180
-8.375,-8.20075242788804519836640333679494605558805337194942839048108
-8.25,-8.07575325342623819798960988450014104798801566054731514973226
-8.125,-7.95075423516163908710127872016726534641118723558435539271827
-8.0,-7.82575540264766717709941327874212947304473297764199076251132
-7.875,-7.70075679102937458377824283991193504927179431189184094134961
-7.75,-7.57575844210138797808518874924206056665769313421920118866087
-7.625,-7.45076040556600596242846190887715100109122296802053041085451
-7.5,-7.32576274052931694285002387591405243885404979905882156749216
-7.375,-7.20076551728036418577715401948874630528385027172994198432814
-7.25,-7.07576881940690060438647780565532021907893282972053464404902
-7.125,-6.95077274631140148122765798034582431183279811545105143709643
-7.0,-6.82577741620304278449608154871989417693947087729054150956146
-6.875,-6.70078296965566722529764574125590176771283525211749622945070
-6.75,-6.57578957383877898052813437918308670964355363082350567554157
-6.625,-6.45079742754884103623558030607410311934627092990925506552139
-6.5,-6.32580676719220213828148158246411233809352157884828456905490
-6.375,-6.20081787389957273305884324056599180083078953527763049584848
-6.25,-6.07583108198595509986740766069948877634272888224361005455158
-6.125,-5.95084678901032577475367566405160106145184838326762982274985
-6.0,-5.82586546773737096758179992446361534856828670364659226890531
-5.875,-5.70088768036061415738810665351826715637503602658509534215615
-5.75,-5.57591409541403979174635787264369481594138657535936642626161
-5.625,-5.45094550787981024027058534892329493003053513785686456831921
-5.5,-5.32598286309526463826863880193709421136095370671460731918623
-5.375,-5.20102728517588020691577268722426788030474903767332448112285
-5.25,-5.07608011080557889658404439146040737437884226097272346889947
-5.125,-4.95114292940557897792884803782376619346117728395390412771633
-5.0,-4.82621763088252034317952230953724387981377596036527540240026
-4.875,-4.70130646238123786225594407338967163035494592635688823509144
