family,d,rank,collision_l2_sq,max_width,target_bits,search_cap,hit_cap,max_rop_log2,next_rop_log2,max_beta,next_beta
q32,32,15,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,5119,
q32,32,16,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,5461,
q32,32,17,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,5802,
q32,32,18,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,6143,
q32,32,19,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,6485,
q32,32,20,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,6826,
q32,32,1,8192,6,128.00000000000000000,6400000000000,false,inf,56.975000000000,192,215
q32,32,2,8192,16,128.00000000000000000,6400000000000,false,133.030000000000,127.730000000000,502,482
q32,32,3,8192,6400000000000,128.00000000000000000,6400000000000,true,215.445000000000,,813,
q32,32,4,8192,6400000000000,128.00000000000000000,6400000000000,true,315.085000000000,,1189,
q32,32,5,8192,6400000000000,128.00000000000000000,6400000000000,true,inf,,1575,
q32,32,6,8192,6400000000000,128.00000000000000000,6400000000000,true,inf,,1890,
q32,32,7,8192,6400000000000,128.00000000000000000,6400000000000,true,inf,,2205,
q32,32,8,8192,6400000000000,128.00000000000000000,6400000000000,true,inf,,2520,
q32,32,9,8192,6400000000000,128.00000000000000000,6400000000000,true,inf,,2835,
q32,32,10,8192,6400000000000,128.00000000000000000,6400000000000,true,inf,,3150,
q32,32,11,8192,6400000000000,128.00000000000000000,6400000000000,true,inf,,3465,
q32,32,12,8192,6400000000000,128.00000000000000000,6400000000000,true,inf,,3780,
q32,32,13,8192,6400000000000,128.00000000000000000,6400000000000,true,inf,,4095,
q32,32,14,8192,6400000000000,128.00000000000000000,6400000000000,true,inf,,4411,
q32,32,15,8192,6400000000000,128.00000000000000000,6400000000000,true,inf,,4726,
q32,32,16,8192,6400000000000,128.00000000000000000,6400000000000,true,inf,,5041,
q32,32,17,8192,6400000000000,128.00000000000000000,6400000000000,true,inf,,5356,
