baseline,machine_config,library,field,ext_degree,basis,op,workload,vectorization,arch,simd,width,unit,ns_per_op_or_lane,lower,upper,family,label,group,bench_id
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,double_add,latency_chain,scalar,x86_64,avx2,8,ns/op,2.092,2.092,2.092,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_double_add_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,inverse,latency_chain,packed,x86_64,avx2,8,ns/lane,59.157,59.155,59.161,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_inverse_chain_128x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,inverse,latency_chain,scalar,x86_64,avx2,8,ns/op,84.897,84.895,84.900,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_inverse_chain_128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,inverse,throughput_stream,packed,x86_64,avx2,8,ns/lane,58.936,58.934,58.938,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,packed_inverse_stream_8x8x32_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,inverse,throughput_stream,scalar,x86_64,avx2,8,ns/op,74.758,74.749,74.769,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,scalar_inverse_stream_8x32_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul,latency_chain,packed,x86_64,avx2,8,ns/lane,1.091,1.091,1.091,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_mul_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul,latency_chain,scalar,x86_64,avx2,8,ns/op,9.244,9.238,9.248,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_mul_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul,throughput_stream,packed,x86_64,avx2,8,ns/lane,1.052,1.051,1.052,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,packed_mul_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul,throughput_stream,scalar,x86_64,avx2,8,ns/op,9.106,9.104,9.107,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,scalar_mul_stream_8x128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul_add,latency_chain,packed,x86_64,avx2,8,ns/lane,1.185,1.185,1.185,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_mul_add_chain_512x8_ns_lane
